"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L116","Antlr4ErrorLog.java","antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4ErrorLog.java","L115","1","0","23","0","9","2","1843","1"
"L117","Antlr4Mojo.java","antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4Mojo.java","L115","39","0","268","1","45","2","1843","1"
"L472","Tool.java","tool/src/org/antlr/v4/Tool.java","L471","108","0","626","1","158","2","1843","1"
"L7387","AnalysisPipeline.java","tool/src/org/antlr/v4/analysis/AnalysisPipeline.java","L7386","12","0","73","0","49","2","1843","0"
"L7388","LeftRecursionDetector.java","tool/src/org/antlr/v4/analysis/LeftRecursionDetector.java","L7386","14","0","82","0","20","2","1843","0"
"L7389","LeftRecursiveRuleAltInfo.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAltInfo.java","L7386","1","0","25","0","8","2","1843","0"
"L7390","LeftRecursiveRuleAnalyzer.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAnalyzer.java","L7386","53","0","301","0","22","2","1843","0"
"L7391","LeftRecursiveRuleTransformer.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleTransformer.java","L7386","17","0","155","1","34","2","1300","0"
"L7839","ATNFactory.java","tool/src/org/antlr/v4/automata/ATNFactory.java","L7838","1","0","49","0","18","2","1300","0"
"L7840","ATNOptimizer.java","tool/src/org/antlr/v4/automata/ATNOptimizer.java","L7838","22","0","110","0","11","2","1843","0"
"L7841","ATNPrinter.java","tool/src/org/antlr/v4/automata/ATNPrinter.java","L7838","25","0","99","0","16","2","1843","0"
"L7842","ATNSerializer.java","tool/src/org/antlr/v4/automata/ATNSerializer.java","L7838","76","0","376","1","61","2","1300","0"
"L7843","ATNVisitor.java","tool/src/org/antlr/v4/automata/ATNVisitor.java","L7838","3","0","22","0","7","2","1843","0"
"L7844","LexerATNFactory.java","tool/src/org/antlr/v4/automata/LexerATNFactory.java","L7838","29","0","239","2","44","2","1300","0"
"L7845","ParserATNFactory.java","tool/src/org/antlr/v4/automata/ParserATNFactory.java","L7838","63","0","527","0","79","2","1300","0"
"L7846","TailEpsilonRemover.java","tool/src/org/antlr/v4/automata/TailEpsilonRemover.java","L7838","12","0","40","0","7","2","1300","0"
"L8377","ActionTranslator.java","tool/src/org/antlr/v4/codegen/ActionTranslator.java","L8376","30","0","262","0","51","2","1300","0"
"L8378","BlankOutputModelFactory.java","tool/src/org/antlr/v4/codegen/BlankOutputModelFactory.java","L8376","1","0","67","0","22","2","1843","0"
"L8379","CodeGenerator.java","tool/src/org/antlr/v4/codegen/CodeGenerator.java","L8376","17","0","209","0","78","2","1843","0"
"L8380","CodeGeneratorExtension.java","tool/src/org/antlr/v4/codegen/CodeGeneratorExtension.java","L8376","1","0","37","0","23","1","1843","0"
"L8381","CodeGenPipeline.java","tool/src/org/antlr/v4/codegen/CodeGenPipeline.java","L8376","10","0","61","0","43","2","1843","0"
"L8382","DefaultOutputModelFactory.java","tool/src/org/antlr/v4/codegen/DefaultOutputModelFactory.java","L8376","4","0","69","0","30","2","1300","0"
"L8383","JavaTarget.java","tool/src/org/antlr/v4/codegen/JavaTarget.java","L8376","28","0","114","1","10","2","1300","0"
"L8384","LexerFactory.java","tool/src/org/antlr/v4/codegen/LexerFactory.java","L8376","1","0","4","0","19","1","1843","0"
"L8385","OutputModelController.java","tool/src/org/antlr/v4/codegen/OutputModelController.java","L8376","42","0","362","1","71","2","1300","0"
"L8386","OutputModelFactory.java","tool/src/org/antlr/v4/codegen/OutputModelFactory.java","L8376","1","0","58","0","47","2","1843","0"
"L8387","OutputModelWalker.java","tool/src/org/antlr/v4/codegen/OutputModelWalker.java","L8376","18","0","97","0","24","2","1300","0"
"L8388","ParserFactory.java","tool/src/org/antlr/v4/codegen/ParserFactory.java","L8376","40","0","292","0","69","2","1300","0"
"L8389","Target.java","tool/src/org/antlr/v4/codegen/Target.java","L8376","25","0","226","1","71","2","1300","0"
"L8390","Wildcard.java","tool/src/org/antlr/v4/codegen/Wildcard.java","L8376","1","0","8","0","4","1","1843","0"
"L11105","CharSupport.java","tool/src/org/antlr/v4/misc/CharSupport.java","L11104","23","0","90","0","10","1","1843","0"
"L11106","FrequencySet.java","tool/src/org/antlr/v4/misc/FrequencySet.java","L11104","3","0","19","0","9","2","1843","0"
"L11107","Graph.java","tool/src/org/antlr/v4/misc/Graph.java","L11104","10","0","56","0","8","2","1843","0"
"L11108","MutableInt.java","tool/src/org/antlr/v4/misc/MutableInt.java","L11104","1","0","14","0","11","2","1843","0"
"L11109","OrderedHashMap.java","tool/src/org/antlr/v4/misc/OrderedHashMap.java","L11104","1","0","23","0","4","1","1843","0"
"L11110","Utils.java","tool/src/org/antlr/v4/misc/Utils.java","L11104","20","0","102","0","37","2","1300","0"
"L11367","ActionSplitterListener.java","tool/src/org/antlr/v4/parse/ActionSplitterListener.java","L11366","1","0","10","0","15","2","1300","0"
"L11368","GrammarASTAdaptor.java","tool/src/org/antlr/v4/parse/GrammarASTAdaptor.java","L11366","4","0","43","0","22","2","1843","0"
"L11369","ResyncToEndOfRuleBlock.java","tool/src/org/antlr/v4/parse/ResyncToEndOfRuleBlock.java","L11366","1","0","3","0","5","1","1843","0"
"L11370","ScopeParser.java","tool/src/org/antlr/v4/parse/ScopeParser.java","L11366","59","0","204","0","19","2","1300","0"
"L11371","TokenVocabParser.java","tool/src/org/antlr/v4/parse/TokenVocabParser.java","L11366","8","0","81","0","21","2","1300","0"
"L11372","ToolANTLRLexer.java","tool/src/org/antlr/v4/parse/ToolANTLRLexer.java","L11366","1","0","22","0","3","2","1300","0"
"L11373","ToolANTLRParser.java","tool/src/org/antlr/v4/parse/ToolANTLRParser.java","L11366","4","0","43","0","15","2","1300","0"
"L11374","v3TreeGrammarException.java","tool/src/org/antlr/v4/parse/v3TreeGrammarException.java","L11366","1","0","9","0","3","1","1843","0"
"L11375","v4ParserException.java","tool/src/org/antlr/v4/parse/v4ParserException.java","L11366","1","0","11","0","10","2","1843","0"
"L11602","ActionSniffer.java","tool/src/org/antlr/v4/semantics/ActionSniffer.java","L11601","3","0","65","0","14","2","1300","0"
"L11603","AttributeChecks.java","tool/src/org/antlr/v4/semantics/AttributeChecks.java","L11601","35","0","195","0","50","2","1300","0"
"L11604","BasicSemanticChecks.java","tool/src/org/antlr/v4/semantics/BasicSemanticChecks.java","L11601","74","0","406","0","88","2","1300","0"
"L11605","BlankActionSplitterListener.java","tool/src/org/antlr/v4/semantics/BlankActionSplitterListener.java","L11601","1","0","33","0","13","2","1300","0"
"L11606","RuleCollector.java","tool/src/org/antlr/v4/semantics/RuleCollector.java","L11601","8","0","84","0","13","2","1300","0"
"L11607","SemanticPipeline.java","tool/src/org/antlr/v4/semantics/SemanticPipeline.java","L11601","32","0","144","0","67","2","1843","0"
"L11608","SymbolChecks.java","tool/src/org/antlr/v4/semantics/SymbolChecks.java","L11601","43","0","206","1","50","2","1300","0"
"L11609","SymbolCollector.java","tool/src/org/antlr/v4/semantics/SymbolCollector.java","L11601","5","0","130","0","23","2","1300","0"
"L11610","UseDefAnalyzer.java","tool/src/org/antlr/v4/semantics/UseDefAnalyzer.java","L11601","7","0","75","0","21","2","1300","0"
"L12771","Alternative.java","tool/src/org/antlr/v4/tool/Alternative.java","L12770","25","0","92","0","32","2","1300","0"
"L12772","ANTLRMessage.java","tool/src/org/antlr/v4/tool/ANTLRMessage.java","L12770","2","0","53","0","5","2","1300","0"
"L12773","ANTLRToolListener.java","tool/src/org/antlr/v4/tool/ANTLRToolListener.java","L12770","1","0","6","0","5","1","1843","0"
"L12774","Attribute.java","tool/src/org/antlr/v4/tool/Attribute.java","L12770","2","0","23","0","14","2","1300","0"
"L12775","AttributeDict.java","tool/src/org/antlr/v4/tool/AttributeDict.java","L12770","4","0","52","0","20","2","1300","0"
