"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L116","Antlr4ErrorLog.java","antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4ErrorLog.java","L115","6","0","52","1","12","2","1300","0"
"L117","Antlr4Mojo.java","antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4Mojo.java","L115","40","0","277","2","51","2","1300","0"
"L499","Tool.java","tool/src/org/antlr/v4/Tool.java","L498","109","0","637","3","167","2","1300","3"
"L9156","AnalysisPipeline.java","tool/src/org/antlr/v4/analysis/AnalysisPipeline.java","L9155","12","0","73","0","50","2","1300","0"
"L9157","LeftRecursionDetector.java","tool/src/org/antlr/v4/analysis/LeftRecursionDetector.java","L9155","14","0","82","0","20","2","1843","0"
"L9158","LeftRecursiveRuleAltInfo.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAltInfo.java","L9155","1","0","25","0","8","2","1843","0"
"L9159","LeftRecursiveRuleAnalyzer.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAnalyzer.java","L9155","47","0","279","0","30","2","1843","0"
"L9160","LeftRecursiveRuleTransformer.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleTransformer.java","L9155","17","0","162","1","37","2","1843","0"
"L9617","ATNFactory.java","tool/src/org/antlr/v4/automata/ATNFactory.java","L9616","1","0","74","0","22","2","1300","0"
"L9618","ATNOptimizer.java","tool/src/org/antlr/v4/automata/ATNOptimizer.java","L9616","22","0","110","0","11","2","1843","0"
"L9619","ATNPrinter.java","tool/src/org/antlr/v4/automata/ATNPrinter.java","L9616","24","0","98","0","19","2","1300","0"
"L9620","ATNVisitor.java","tool/src/org/antlr/v4/automata/ATNVisitor.java","L9616","3","0","22","0","7","2","1843","0"
"L9621","LexerATNFactory.java","tool/src/org/antlr/v4/automata/LexerATNFactory.java","L9616","58","0","372","2","47","2","1843","0"
"L9622","ParserATNFactory.java","tool/src/org/antlr/v4/automata/ParserATNFactory.java","L9616","65","0","565","0","86","2","1300","0"
