Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
File,org.apache.xalan.Version,1,1,1,1,13,0,4,9,1,8,0,8,0,0,8,0,0,0,8,188,10,39,10,11,139,9,18,10,8,2,2,2,3.56,9,9,9,8,0,0.0
File,org.apache.xalan.client.XSLTProcessorApplet,2,2,2,1,22,1,14,7,2,0,0,24,24,23,24,0,2,0,22,798,95,390,106,202,319,177,234,101,133,8,8,10,0.82,51,51,53,24,4,0.0
File,org.apache.xalan.extensions.ExpressionContext,0,0,0,0,0,0,0,0,1,0,0,6,6,0,6,0,0,0,6,121,9,15,13,0,97,10,11,11,0,0,0,0,6.47,0,0,0,0,0,1.0
File,org.apache.xalan.extensions.ExpressionVisitor,1,1,1,1,13,0,6,6,1,0,0,2,2,1,2,0,0,0,2,106,4,23,11,5,79,11,15,11,4,2,2,2,3.43,3,3,3,2,1,0.0
File,org.apache.xalan.extensions.ExtensionHandler,3,3,3,1,25,2,16,7,1,1,2,6,5,2,6,0,0,1,5,222,23,69,31,22,130,32,39,24,15,5,5,5,1.88,6,6,6,2,2,1.0
File,org.apache.xalan.extensions.ExtensionHandlerExsltFunction,2,2,3,1,18,0,12,6,1,0,1,7,7,2,7,0,1,0,6,237,17,116,50,48,106,60,79,46,33,6,6,8,0.91,18,18,22,12,3,1.0
File,org.apache.xalan.extensions.ExtensionHandlerGeneral,5,5,5,1,51,6,31,15,1,0,7,5,5,7,5,0,0,0,5,442,64,223,70,108,164,106,132,65,67,13,13,15,0.74,25,25,28,5,4,1.0
File,org.apache.xalan.extensions.ExtensionHandlerJava,1,1,1,1,19,1,5,12,1,0,0,3,3,2,3,0,0,1,2,136,11,23,11,6,102,8,12,8,4,1,1,1,4.43,3,3,3,3,0,0.0
File,org.apache.xalan.extensions.ExtensionHandlerJavaClass,7,7,8,4,64,3,43,17,1,0,0,5,5,2,5,0,0,0,5,444,43,237,51,126,167,91,128,43,85,21,21,21,0.7,38,38,41,21,7,2.0
File,org.apache.xalan.extensions.ExtensionHandlerJavaPackage,7,7,8,4,71,3,50,19,1,0,0,5,5,0,5,0,0,0,5,479,37,274,64,145,175,115,154,57,97,19,19,19,0.64,39,39,41,24,5,2.0
File,org.apache.xalan.extensions.ExtensionNamespaceSupport,3,3,3,3,20,0,18,3,1,0,0,3,3,4,3,0,0,0,3,85,6,66,18,34,16,30,41,17,24,6,6,6,0.24,10,10,10,9,4,0.0
