Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.tools.ant.AntClassLoader,108,2.0,0.0,5.0,36.0,24.0,0.0
apache.tools.ant.BuildEvent,11,2.0,0.0,4.0,11.0,11.0,0.0
apache.tools.ant.Location,6,1.0,0.0,0.0,4.0,3.0,0.0
apache.tools.ant.taskdefs.Ant,35,3.0,0.0,7.0,35.0,8.0,3.0
apache.tools.ant.taskdefs.CVSPass,13,3.0,0.0,2.0,29.0,5.0,0.0
apache.tools.ant.taskdefs.CallTarget,11,3.0,0.0,3.0,30.0,5.0,1.0
apache.tools.ant.taskdefs.Cvs,36,3.0,0.0,11.0,37.0,14.0,1.0
apache.tools.ant.taskdefs.Delete,61,4.0,0.0,6.0,54.0,16.0,0.0
apache.tools.ant.taskdefs.Deltree,12,3.0,0.0,1.0,26.0,2.0,0.0
apache.tools.ant.taskdefs.Ear,11,6.0,0.0,5.0,83.0,4.0,0.0
apache.tools.ant.taskdefs.Echo,14,3.0,0.0,5.0,29.0,6.0,0.0
apache.tools.ant.taskdefs.Exec,23,3.0,0.0,3.0,32.0,6.0,0.0
apache.tools.ant.taskdefs.ExecuteJava,14,1.0,0.0,6.0,5.0,5.0,0.0
apache.tools.ant.taskdefs.ExecuteOn,43,4.0,2.0,12.0,58.0,8.0,1.0
apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0.0,7.0,0.0,5.0,5.0,0.0
apache.tools.ant.taskdefs.ExecuteWatchdog,17,1.0,0.0,1.0,8.0,7.0,0.0
apache.tools.ant.taskdefs.GenerateKey,33,3.0,0.0,5.0,36.0,13.0,1.0
apache.tools.ant.taskdefs.Jikes,9,1.0,0.0,4.0,2.0,0.0,0.0
apache.tools.ant.taskdefs.LogStreamHandler,3,2.0,1.0,3.0,15.0,2.0,0.0
apache.tools.ant.taskdefs.Manifest,31,1.0,0.0,4.0,9.0,9.0,0.0
apache.tools.ant.taskdefs.MatchingTask,18,3.0,25.0,5.0,36.0,12.0,0.0
apache.tools.ant.taskdefs.Move,35,4.0,0.0,6.0,48.0,1.0,1.0
apache.tools.ant.taskdefs.condition.And,2,2.0,0.0,1.0,12.0,1.0,1.0
apache.tools.ant.types.Commandline,42,1.0,0.0,3.0,17.0,17.0,0.0
