name,wmc,dit,noc,cbo,rfc,npm,bug
gjt.sp.jedit.options.ModeOptionPane,12,6,0,7,39,1,1
gjt.sp.jedit.buffer.ExplicitFoldHandler,2,2,0,2,6,2,0
gjt.sp.jedit.options.GeneralOptionPane,5,6,0,5,28,1,1
bsh.Node,7,1,0,36,7,7,0
gjt.sp.jedit.options.ColorOptionPane,8,6,0,5,31,1,0
gjt.sp.jedit.options.StyleEditor,5,7,0,4,50,4,0
gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,5,2,0,5,29,4,1
gjt.sp.jedit.options.EditingOptionPane,3,6,0,5,24,1,1
bsh.ConsoleInterface,6,1,0,1,6,6,0
bsh.BSHFormalParameters,2,2,0,9,6,1,0
bsh.ReflectManager,4,1,1,4,11,4,0
gjt.sp.jedit.pluginmgr.PluginManager,11,6,0,12,63,1,0
bsh.BSHPrimaryExpression,2,2,0,8,8,1,0
gjt.sp.jedit.options.AbbrevsOptionPane,14,6,0,11,77,1,0
gnu.regexp.RETokenLookAhead,3,2,0,5,11,0,0
gnu.regexp.RESyntax,9,1,0,4,18,8,0
bsh.ReturnControl,1,1,0,10,2,1,0
gjt.sp.jedit.buffer.OffsetManager,28,1,0,7,39,21,7
gjt.sp.jedit.options.FirewallOptionPane,9,6,0,4,27,3,0
gjt.sp.jedit.io.VFS,32,1,4,31,70,26,0
gjt.sp.jedit.buffer.BufferChangeAdapter,5,1,0,2,6,5,0
gnu.regexp.RETokenEndSub,3,2,0,4,5,0,0
gnu.regexp.RETokenRange,4,2,0,4,9,0,0
gjt.sp.jedit.options.ContextAddDialog,11,7,0,10,62,4,0
gjt.sp.jedit.io.VFSManager,26,1,0,41,73,18,1
gnu.regexp.CharIndexed,3,1,0,29,3,3,0
bsh.InterpreterError,1,4,0,17,2,1,0
bsh.BSHTernaryExpression,2,2,0,7,6,1,0
bsh.XThis,4,2,0,4,16,2,0
bsh.BSHLiteral,5,2,0,7,20,2,0
gjt.sp.jedit.options.AbbrevsModel,12,2,0,8,32,7,0
gjt.sp.jedit.options.TextAreaOptionPane,3,6,0,4,18,3,0
gnu.regexp.CharIndexedReader,5,1,0,3,12,3,0
bsh.EvalError,15,3,3,53,23,11,1
gjt.sp.jedit.syntax.KeywordMap,10,1,0,8,28,8,0
gjt.sp.jedit.options.WindowTableModel,11,2,0,8,29,9,0
gjt.sp.jedit.options.ContextOptionPane,11,6,0,7,50,1,0
bsh.BSHSwitchLabel,2,2,0,7,5,2,0
gjt.sp.jedit.io.UrlVFS,5,2,0,3,17,5,0
bsh.BSHPrimarySuffix,6,2,0,17,38,1,0
bsh.BSHPrimitiveType,2,2,0,4,3,1,0
gjt.sp.jedit.syntax.XModeHandler,17,2,0,11,72,8,3
gnu.regexp.UncheckedRE,3,3,0,3,7,3,0
gjt.sp.jedit.syntax.TokenMarker,10,1,0,10,47,7,4
gjt.sp.jedit.options.ColorTableModel,8,2,0,7,20,6,0
gjt.sp.jedit.syntax.Token,2,1,0,6,7,2,1
bsh.BSHIfStatement,3,2,0,11,10,2,0
gjt.sp.jedit.options.BrowserColorsOptionPane,9,6,0,8,45,1,0
gjt.sp.jedit.options.GutterOptionPane,3,6,0,4,24,3,1
gjt.sp.jedit.options.StyleOptionPane,8,6,0,7,31,1,0
bsh.BSHArrayInitializer,4,2,0,10,24,2,0
gjt.sp.jedit.buffer.DummyFoldHandler,2,2,0,2,3,2,0
gjt.sp.jedit.buffer.RootElement,11,1,0,2,16,11,0
gjt.sp.jedit.buffer.IndentFoldHandler,2,2,0,2,6,2,0
bsh.BshMethod,4,1,0,14,21,3,0
gnu.regexp.REException,4,3,0,6,13,3,0
bsh.BSHLHSPrimaryExpression,2,2,0,11,9,1,0
bsh.StringUtil,5,1,0,1,24,5,0
bsh.Name,19,1,0,19,72,9,0
gnu.regexp.REMatch,14,1,0,19,27,10,0
gjt.sp.jedit.pluginmgr.InstallPluginsDialog,12,7,0,12,92,2,0
gjt.sp.jedit.syntax.ParserRule,1,1,0,6,2,0,1
gjt.sp.jedit.options.ShortcutsOptionPane,12,6,0,12,58,1,0
bsh.Capabilities,7,1,0,5,12,6,0
bsh.ClassPathException,1,4,0,3,2,1,0
bsh.ParseException,11,4,0,4,24,10,0
bsh.Token,3,1,0,5,4,2,0
bsh.JThis,86,2,0,8,95,84,0
gjt.sp.jedit.msg.EditorExitRequested,2,3,0,5,4,2,0
gnu.regexp.RETokenBackRef,3,2,0,4,8,0,0
gnu.regexp.CharIndexedCharArray,4,1,0,2,5,3,0
bsh.TargetError,11,4,0,18,26,11,0
gnu.regexp.CharIndexedInputStream,5,1,0,3,12,3,0
bsh.BSHAllocationExpression,8,2,0,18,38,1,0
bsh.BSHMethodInvocation,2,2,0,12,19,1,0
gjt.sp.jedit.msg.VFSUpdate,3,2,0,6,9,3,0
bsh.BSHReturnType,2,2,0,8,5,1,0
gjt.sp.jedit.print.BufferPrintable,5,1,0,10,47,1,3
bsh.BSHImportDeclaration,2,2,0,10,9,1,0
bsh.BSHAssignment,3,2,0,11,18,1,0
bsh.BSHForStatement,2,2,0,12,10,1,0
bsh.BSHAmbiguousName,7,2,0,16,17,6,0
gjt.sp.jedit.io.FileRootsVFS,6,2,0,4,22,5,2
bsh.BlockNameSpace,7,2,0,6,18,5,0
gjt.sp.jedit.print.BufferPrinter,4,1,0,6,22,3,0
bsh.Parser,407,1,0,47,494,83,0
gjt.sp.jedit.syntax.ParserRuleFactory,11,1,0,3,16,9,0
bsh.CommandLineReader,4,3,0,1,8,4,0
bsh.BSHThrowStatement,2,2,0,7,7,1,0
bsh.BSHSwitchStatement,2,2,0,10,9,2,0
gjt.sp.jedit.io.FavoritesVFS,11,2,0,6,31,10,0
gnu.regexp.RETokenStart,3,2,0,4,9,0,0
bsh.BSHBinaryExpression,4,2,0,12,21,1,0
bsh.This,10,1,2,15,26,7,0
bsh.BSHTryStatement,2,2,0,12,22,1,0
bsh.BSHWhileStatement,2,2,0,10,7,1,0
gjt.sp.jedit.msg.CreateDockableWindow,7,2,0,5,15,7,0
bsh.BSHBlock,3,2,0,14,10,2,0
gjt.sp.jedit.msg.EditPaneUpdate,5,3,0,6,13,4,0
bsh.BSHTypedVariableDeclaration,3,2,0,11,13,1,0
gjt.sp.jedit.buffer.UndoManager,13,1,0,8,31,11,3
bsh.ParserConstants,1,1,0,13,1,0,0
gnu.regexp.RETokenEnd,3,2,0,4,9,0,0
gjt.sp.jedit.msg.MacrosChanged,1,3,0,4,2,1,0
gjt.sp.jedit.pluginmgr.PluginManagerProgress,19,6,0,14,64,8,1
bsh.LHS,8,1,0,15,32,3,0
gnu.regexp.RETokenWordBoundary,3,2,0,4,8,0,0
bsh.BSHFormalParameter,3,2,0,9,7,1,0
gjt.sp.jedit.options.AppearanceOptionPane,5,6,0,6,34,1,1
bsh.commands.dir,6,1,0,2,41,5,0
gjt.sp.jedit.proto.jeditresource.Handler,2,2,0,1,5,2,0
gjt.sp.jedit.options.BrowserOptionPane,3,6,0,3,17,3,1
gjt.sp.jedit.buffer.FoldHandler,9,1,3,10,25,6,0
gnu.regexp.RETokenRepeated,7,2,0,4,21,0,0
gnu.regexp.REMatchEnumeration,6,1,0,3,11,5,0
bsh.BSHType,6,2,0,16,14,5,0
gnu.regexp.RETokenOneOf,5,2,0,5,22,0,0
bsh.BSHArrayDimensions,4,2,0,10,22,3,0
gjt.sp.jedit.options.StyleTableModel,8,2,0,9,21,6,0
gnu.regexp.CharIndexedString,4,1,0,2,7,3,0
gjt.sp.jedit.msg.MultiSelectStatusChanged,1,3,0,4,2,1,1
bsh.BSHLHSPrimarySuffix,5,2,0,15,24,1,0
gjt.sp.jedit.options.DockingOptionPane,5,6,0,6,42,3,0
gjt.sp.jedit.options.BrowserColorsModel,12,2,0,5,36,7,0
bsh.Interpreter,54,1,0,59,139,45,0
gjt.sp.jedit.options.PrintOptionPane,3,6,0,4,21,1,1
gjt.sp.jedit.msg.PropertiesChanged,1,3,0,9,2,1,0
gnu.regexp.REToken,8,1,13,15,9,0,0
gjt.sp.jedit.io.BufferIORequest,11,2,0,13,104,3,0
gjt.sp.jedit.buffer.BufferChangeListener,4,1,0,4,4,4,0
gjt.sp.jedit.options.OverviewOptionPane,3,6,0,3,16,3,0
bsh.ParserTreeConstants,1,1,0,2,1,0,0
bsh.ParserTokenManager,50,1,0,5,66,6,0
gnu.regexp.CharIndexedStringBuffer,4,1,0,2,7,3,0
gjt.sp.jedit.syntax.SyntaxStyle,4,1,0,11,5,4,1
gnu.regexp.RE,47,2,1,38,109,26,0
gjt.sp.jedit.msg.EditorExiting,1,3,0,3,2,1,0
gnu.regexp.RETokenPOSIX,6,2,0,4,22,0,0
gnu.regexp.REFilterInputStream,5,3,0,4,18,5,0
gjt.sp.jedit.pluginmgr.PluginListHandler,12,2,0,7,36,8,0
gjt.sp.jedit.msg.SearchSettingsChanged,1,3,0,5,2,1,0
bsh.ASCII_UCodeESC_CharStream,27,1,0,3,40,21,0
gnu.regexp.RETokenAny,4,2,0,4,8,0,0
bsh.NameSpace,54,1,1,47,138,38,0
bsh.JJTParserState,12,1,0,3,25,0,0
bsh.BshClassManager,26,1,0,10,38,23,0
gjt.sp.jedit.options.Abbrev,2,1,0,2,3,0,0
gnu.regexp.RETokenChar,5,2,0,5,12,0,0
gnu.regexp.REFilterReader,5,3,0,4,18,5,0
bsh.Primitive,45,1,0,41,77,28,0
bsh.Reflect,37,1,0,24,112,14,0
gjt.sp.jedit.buffer.ContentManager,10,1,0,2,16,8,0
gnu.regexp.CharUnit,1,1,0,1,2,0,0
bsh.BSHMethodDeclaration,3,2,0,11,15,2,0
gjt.sp.jedit.msg.ViewUpdate,5,3,0,8,13,4,0
bsh.BSHUnaryExpression,5,2,0,11,33,1,0
bsh.BSHReturnStatement,2,2,0,9,7,1,0
bsh.BSHArguments,2,2,0,10,6,1,0
gjt.sp.jedit.pluginmgr.PluginList,5,1,0,11,27,0,2
gjt.sp.jedit.options.ToolBarOptionPane,12,6,0,10,65,1,2
bsh.ReflectError,2,3,0,7,4,2,0
bsh.BSHStatementExpressionList,2,2,0,7,6,1,0
gnu.regexp.IntPair,1,1,0,1,2,0,0
gjt.sp.jedit.io.FileVFS,21,2,0,12,94,20,0
gjt.sp.jedit.options.LoadSaveOptionPane,5,6,0,4,35,3,0
gjt.sp.jedit.options.ToolBarEditDialog,14,7,0,13,78,4,0
bsh.SimpleNode,19,1,35,50,31,19,0
gjt.sp.jedit.msg.EditorStarted,1,3,0,3,2,1,0
bsh.BSHVariableDeclarator,2,2,0,10,9,1,0
gjt.sp.jedit.syntax.ParserRuleSet,20,1,0,11,30,20,1
gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,7,6,0,7,32,0,0
gjt.sp.jedit.buffer.LineElement,11,1,0,2,14,11,0
gjt.sp.jedit.msg.BufferUpdate,6,3,0,12,14,5,0
bsh.NameSource,2,1,0,2,2,2,0
gjt.sp.jedit.pluginmgr.Roster,5,1,0,9,14,0,1
bsh.TokenMgrError,6,3,0,2,20,4,0
bsh.CallStack,11,1,0,39,25,11,0
bsh.BSHCastExpression,6,2,0,16,46,6,0
