Unnamed: 0,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.lucene.LucenePackage,1,1,1,1,2,0,2,1,1,1,0,2,1,0,2,0,1,0,1,28,4,7,4,1,18,2,5,4,1,1,1,1,2.57,2,2,2,2,0,0
1,File,org.apache.lucene.analysis.Analyzer,1,1,1,1,17,0,4,13,1,0,0,2,2,0,2,0,0,0,2,58,6,9,5,1,43,4,6,5,1,1,1,1,4.78,1,1,1,1,0,0
2,File,org.apache.lucene.analysis.CharTokenizer,3,3,3,3,15,2,11,3,1,0,2,4,4,5,4,0,0,2,2,85,15,46,16,31,30,26,37,16,21,9,9,9,0.65,11,11,11,9,3,0
3,File,org.apache.lucene.analysis.ISOLatin1AccentFilter,23,2,23,1,46,0,45,23,1,1,0,3,2,0,3,0,0,0,3,168,4,138,7,127,91,61,68,8,60,67,3,67,0.66,70,6,70,3,2,1
4,File,org.apache.lucene.analysis.KeywordAnalyzer,1,1,1,1,4,0,4,0,1,0,0,1,1,0,1,0,0,0,1,30,3,8,5,1,19,3,5,4,1,1,1,1,2.38,1,1,1,1,0,0
5,File,org.apache.lucene.analysis.KeywordTokenizer,2,2,2,2,8,0,7,0,1,0,1,3,3,2,3,0,0,0,3,58,9,31,13,15,18,19,26,13,13,4,4,4,0.58,6,6,6,6,3,0
6,File,org.apache.lucene.analysis.LengthFilter,2,2,2,2,13,0,8,5,1,0,0,2,2,2,2,0,0,0,2,60,6,23,8,8,31,12,17,9,8,3,3,4,1.35,4,4,5,4,2,0
7,File,org.apache.lucene.analysis.LetterTokenizer,1,1,1,1,4,0,3,1,1,0,0,2,2,0,2,0,0,1,1,39,6,10,5,2,23,4,7,5,2,1,1,1,2.3,2,2,2,2,0,0
8,File,org.apache.lucene.analysis.LowerCaseFilter,1,1,1,1,6,1,5,0,1,0,0,2,2,0,2,0,0,0,2,41,7,14,6,6,20,7,11,6,5,2,2,2,1.43,3,3,3,2,1,0
9,File,org.apache.lucene.analysis.LowerCaseTokenizer,1,1,1,1,4,0,3,1,1,0,0,2,2,0,2,0,0,1,1,42,4,10,5,2,28,4,7,5,2,1,1,1,2.8,2,2,2,2,0,0
10,File,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,1,1,1,1,7,0,4,3,1,0,0,4,4,2,4,0,0,0,4,80,9,24,12,8,47,12,18,12,6,2,2,2,1.96,5,5,5,4,1,1
11,File,org.apache.lucene.analysis.PorterStemFilter,2,2,2,1,8,0,7,1,1,0,0,2,2,1,2,0,0,0,2,59,5,20,8,10,35,10,15,8,7,3,3,3,1.75,4,4,4,2,2,0
12,File,org.apache.lucene.analysis.PorterStemmer,5,4,6,4,14,0,12,2,1,1,2,27,26,6,27,2,12,0,13,546,70,340,52,260,140,231,365,56,309,34,24,37,0.41,160,134,178,124,5,0
13,File,org.apache.lucene.analysis.SimpleAnalyzer,1,1,1,1,3,0,3,0,1,0,0,1,1,0,1,0,0,0,1,27,4,7,4,1,16,3,5,4,1,1,1,1,2.29,1,1,1,1,0,0
14,File,org.apache.lucene.analysis.StopAnalyzer,1,1,1,1,4,0,3,1,1,0,1,6,6,1,6,0,0,0,6,74,12,33,20,11,29,13,20,14,6,1,1,1,0.88,6,6,6,6,0,0
15,File,org.apache.lucene.analysis.StopFilter,1,1,1,1,10,0,5,5,1,2,0,7,5,2,7,0,0,0,7,115,13,44,16,18,58,25,36,18,18,4,4,4,1.32,12,12,12,9,2,0
16,File,org.apache.lucene.analysis.Token,1,1,1,1,8,0,3,4,1,0,0,9,9,5,9,0,0,0,9,122,16,40,17,26,70,26,39,17,22,3,3,3,1.75,12,12,12,9,1,2
17,File,org.apache.lucene.analysis.TokenFilter,1,1,1,1,4,0,3,1,1,0,0,2,2,1,2,0,0,1,1,41,8,11,6,2,22,5,8,6,2,1,1,1,2.0,2,2,2,2,0,0
18,File,org.apache.lucene.analysis.TokenStream,1,1,1,1,2,0,1,1,1,0,0,2,2,0,2,0,0,0,2,39,5,6,5,0,28,3,5,5,0,1,1,1,4.67,1,1,1,1,0,1
19,File,org.apache.lucene.analysis.Tokenizer,1,1,1,1,3,0,2,1,1,0,0,3,3,1,3,0,0,2,1,44,8,13,8,2,23,6,10,8,2,1,1,1,1.77,3,3,3,3,0,0
20,File,org.apache.lucene.analysis.WhitespaceAnalyzer,1,1,1,1,3,0,3,0,1,0,0,1,1,0,1,0,0,0,1,27,4,7,4,1,16,3,5,4,1,1,1,1,2.29,1,1,1,1,0,0
21,File,org.apache.lucene.analysis.WhitespaceTokenizer,1,1,1,1,4,0,3,1,1,0,0,2,2,0,2,0,0,1,1,35,5,10,5,2,20,4,7,5,2,1,1,1,2.0,2,2,2,2,0,0
22,File,org.apache.lucene.analysis.WordlistLoader,2,2,2,1,21,0,13,8,1,3,0,3,0,0,3,0,1,0,2,104,7,52,20,28,45,29,39,21,18,4,4,4,0.87,8,8,8,3,2,0
23,File,org.apache.lucene.analysis.standard.CharStream,0,0,0,0,0,0,0,0,1,0,0,10,10,0,10,10,0,0,0,96,13,13,12,0,70,11,12,12,0,0,0,0,5.38,0,0,0,0,0,1
24,File,org.apache.lucene.analysis.standard.FastCharStream,1,1,1,1,5,0,5,0,1,0,0,14,14,6,14,0,1,0,13,121,18,82,28,45,32,39,60,27,33,5,5,5,0.39,20,20,20,14,2,0
25,File,org.apache.lucene.analysis.standard.ParseException,5,3,5,1,27,0,20,7,1,0,0,5,5,5,5,0,0,1,4,191,13,109,22,75,69,66,84,23,61,12,10,13,0.63,25,17,26,8,3,1
26,File,org.apache.lucene.analysis.standard.StandardAnalyzer,1,1,1,1,5,0,3,1,1,0,1,6,6,1,6,0,0,0,6,77,11,32,16,11,34,18,25,16,9,1,1,1,1.06,6,6,6,6,0,0
27,File,org.apache.lucene.analysis.standard.StandardFilter,3,3,4,2,18,2,13,3,1,0,2,2,2,0,2,0,0,0,2,68,13,34,13,23,23,17,25,13,12,6,6,8,0.68,7,7,9,5,3,0
28,File,org.apache.lucene.analysis.standard.StandardTokenizer,3,2,3,1,11,0,10,0,1,1,1,14,13,9,14,0,3,0,11,206,18,166,32,112,22,112,150,41,109,14,10,14,0.13,46,38,46,17,4,0
29,File,org.apache.lucene.analysis.standard.StandardTokenizerConstants,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,44,5,38,37,33,1,19,20,20,0,0,0,0,0.03,0,0,0,0,0,0
30,File,org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,22,13,22,12,53,0,53,0,1,5,22,21,16,11,21,0,13,1,7,1221,7,1213,126,1037,1,587,860,79,781,414,237,415,0.0,470,285,474,261,6,1
31,File,org.apache.lucene.analysis.standard.Token,1,1,1,1,13,0,5,7,1,1,0,2,1,8,2,0,0,0,2,81,10,19,9,3,52,8,12,9,3,1,2,1,2.74,2,3,2,2,1,0
32,File,org.apache.lucene.analysis.standard.TokenMgrError,3,1,3,1,14,0,10,4,1,2,4,6,4,1,6,0,0,2,4,133,13,72,16,50,48,37,47,17,30,12,4,13,0.67,18,10,19,6,3,0
33,File,org.apache.lucene.document.DateField,1,1,1,1,7,0,5,1,1,6,1,7,1,0,7,0,1,0,6,105,14,43,18,23,49,22,35,18,17,5,5,5,1.14,12,12,12,7,2,0
34,File,org.apache.lucene.document.DateTools,3,3,3,1,17,0,10,6,2,6,8,10,4,1,10,0,3,0,7,239,25,122,34,90,92,73,106,34,72,8,8,8,0.75,31,31,31,10,1,0
35,File,org.apache.lucene.document.Document,2,2,2,1,14,0,7,6,1,0,0,14,14,2,14,0,0,0,14,260,25,115,41,65,123,67,103,48,55,4,4,5,1.07,35,35,39,22,2,1
36,File,org.apache.lucene.document.Field,2,2,2,1,13,0,7,4,4,0,12,26,26,12,26,0,4,0,22,512,69,245,62,181,200,141,211,62,149,17,17,17,0.82,69,69,72,26,2,1
37,File,org.apache.lucene.document.NumberTools,5,5,5,1,32,4,20,7,1,2,6,2,0,0,2,0,0,0,2,127,20,51,17,37,56,25,36,15,21,6,6,6,1.1,10,10,10,2,1,0
38,File,org.apache.lucene.index.CompoundFileReader,1,1,1,1,8,0,6,1,3,0,0,19,19,9,19,1,0,2,16,239,45,137,52,60,57,64,98,49,49,6,6,7,0.42,29,29,30,19,3,1
39,File,org.apache.lucene.index.CompoundFileWriter,3,3,3,1,26,3,16,6,2,0,0,6,6,8,6,0,1,0,5,234,34,120,41,81,81,69,95,40,55,8,8,8,0.68,22,22,22,6,2,1
40,File,org.apache.lucene.index.DocumentWriter,5,5,6,1,30,3,24,5,2,1,0,11,10,17,11,5,6,0,0,413,55,302,97,209,86,202,270,99,171,23,23,24,0.28,64,64,67,20,7,6
41,File,org.apache.lucene.index.FieldInfo,1,1,1,1,10,0,10,0,1,0,0,1,1,7,1,1,0,0,0,41,5,20,11,7,17,15,17,10,7,1,1,1,0.85,1,1,1,1,0,1
42,File,org.apache.lucene.index.FieldInfos,2,2,2,1,11,0,7,4,1,0,5,19,19,2,19,2,2,0,15,293,31,167,61,93,101,80,124,58,66,7,7,7,0.6,41,41,41,23,2,1
43,File,org.apache.lucene.index.FieldsReader,3,3,3,1,25,3,21,1,1,0,0,5,5,4,5,4,1,0,0,173,24,123,42,80,30,68,86,40,46,11,11,13,0.24,17,17,19,5,5,9
44,File,org.apache.lucene.index.FieldsWriter,3,3,3,1,24,2,18,3,1,0,3,4,4,3,4,3,1,0,0,140,22,90,33,57,28,55,71,33,38,11,11,11,0.31,15,15,15,4,4,2
