Unnamed: 0,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.log4j.Appender,0,0,0,0,0,0,0,0,1,0,0,12,12,0,12,1,0,0,11,130,31,29,28,0,70,16,17,17,0,0,0,0,2.41,0,0,0,0,0,0.0
1,File,org.apache.log4j.AppenderSkeleton,1,1,1,1,10,1,4,4,1,0,1,19,19,7,19,0,0,1,18,315,66,125,61,42,124,45,72,37,35,7,5,7,0.99,28,26,29,23,2,4.0
2,File,org.apache.log4j.AsyncAppender,1,1,1,1,13,0,7,5,2,0,3,19,19,9,19,2,0,0,17,417,67,190,62,90,163,72,121,44,77,7,7,8,0.86,36,36,37,23,3,5.0
3,File,org.apache.log4j.BasicConfigurator,1,1,1,1,8,0,4,3,1,10,3,12,2,2,12,0,0,2,10,225,42,97,52,37,87,31,48,28,20,3,3,3,0.9,14,14,14,12,2,2.0
4,File,org.apache.log4j.Category,1,1,1,1,22,1,4,16,1,0,5,2,2,10,2,0,0,1,1,248,50,77,54,27,121,44,50,38,12,2,2,2,1.57,3,3,3,2,1,9.0
5,File,org.apache.log4j.CategoryKey,1,1,2,1,5,0,5,0,1,0,0,3,3,2,3,1,0,0,2,41,7,24,11,9,10,9,15,7,8,3,3,4,0.42,5,5,6,5,1,0.0
6,File,org.apache.log4j.DefaultCategoryFactory,1,1,1,1,2,0,2,0,1,0,0,2,2,0,2,1,0,0,1,21,5,10,6,1,6,3,6,5,1,1,1,1,0.6,2,2,2,2,0,0.0
7,File,org.apache.log4j.FileAppender,1,1,1,1,13,1,6,6,1,0,2,16,16,3,16,0,0,3,13,344,62,135,53,61,147,54,83,36,47,6,6,6,1.09,28,28,29,16,2,3.0
8,File,org.apache.log4j.HTMLLayout,2,2,2,1,17,1,11,4,1,0,3,14,14,5,14,1,1,0,12,333,52,187,49,122,95,114,146,39,107,7,7,7,0.51,31,31,32,16,2,2.0
9,File,org.apache.log4j.Hierarchy,2,2,2,1,19,2,8,8,1,0,3,22,22,6,22,0,2,0,20,561,113,230,93,122,222,109,157,68,89,6,6,6,0.97,44,44,45,28,2,3.0
