filename,npm,wmc,dit,noc,cbo,rfc,bug
apache.tools.ant.ExitStatusException,9.0,4.0,3.0,0.0,2.0,7.0,0.0
apache.tools.ant.NoBannerLogger,8.0,4.0,3.0,0.0,8.0,16.0,1.0
apache.tools.ant.Main,4.0,24.0,2.0,0.0,45.0,147.0,4.0
apache.tools.ant.ProjectComponent,9.0,10.0,2.0,21.0,8.0,19.0,0.0
apache.tools.ant.DirectoryScanner,30.0,63.0,2.0,1.0,29.0,174.0,3.0
apache.tools.ant.DemuxOutputStream,4.0,10.0,2.0,0.0,9.0,37.0,0.0
apache.tools.ant.PropertyHelper,18.0,23.0,2.0,0.0,9.0,63.0,3.0
apache.tools.ant.MagicNames,0.0,1.0,2.0,0.0,2.0,2.0,2.0
apache.tools.ant.Task,23.0,29.0,3.0,67.0,14.0,80.0,0.0
apache.tools.ant.ComponentHelper,26.0,40.0,2.0,0.0,44.0,175.0,0.0
apache.tools.ant.BuildException,8.0,15.0,2.0,3.0,8.0,33.0,0.0
apache.tools.ant.ExitException,1.0,3.0,2.0,0.0,3.0,8.0,0.0
apache.tools.ant.RuntimeConfigurable,21.0,25.0,2.0,0.0,26.0,77.0,1.0
apache.tools.ant.XmlLogger,11.0,16.0,2.0,0.0,35.0,78.0,1.0
apache.tools.ant.UnknownElement,34.0,31.0,4.0,0.0,29.0,137.0,3.0
apache.tools.ant.PathTokenizer,2.0,3.0,2.0,0.0,9.0,17.0,0.0
apache.tools.ant.AntTypeDefinition,17.0,22.0,2.0,0.0,18.0,59.0,0.0
apache.tools.ant.DefaultLogger,11.0,18.0,2.0,4.0,17.0,45.0,3.0
apache.tools.ant.IntrospectionHelper,24.0,36.0,2.0,0.0,57.0,137.0,4.0
apache.tools.ant.TaskAdapter,26.0,7.0,4.0,0.0,17.0,31.0,0.0
apache.tools.ant.BuildEvent,8.0,11.0,2.0,0.0,4.0,15.0,0.0
apache.tools.ant.DemuxInputStream,2.0,3.0,2.0,0.0,4.0,5.0,0.0
apache.tools.ant.AntClassLoader,29.0,57.0,2.0,1.0,49.0,198.0,6.0
