address,PIM,WMC,DIT,NOC,CBO,RFC,bug
apache.tools.ant.taskdefs.Ant,18.0,10.0,3.0,0.0,19.0,73.0,0.0
apache.tools.ant.AntClassLoader,7.0,17.0,2.0,0.0,25.0,73.0,2.0
apache.tools.ant.taskdefs.AntStructure,15.0,8.0,3.0,0.0,27.0,60.0,0.0
apache.tools.ant.taskdefs.Available,22.0,13.0,3.0,0.0,14.0,39.0,0.0
apache.tools.ant.BuildEvent,8.0,11.0,2.0,0.0,4.0,15.0,0.0
apache.tools.ant.BuildException,7.0,14.0,2.0,0.0,8.0,31.0,0.0
apache.tools.ant.taskdefs.CallTarget,15.0,5.0,3.0,0.0,5.0,20.0,0.0
apache.tools.ant.taskdefs.Chmod,35.0,14.0,5.0,0.0,14.0,43.0,0.0
apache.tools.ant.types.Commandline,15.0,19.0,2.0,0.0,12.0,55.0,0.0
apache.tools.ant.types.CommandlineJava,20.0,21.0,2.0,0.0,13.0,51.0,1.0
apache.tools.ant.taskdefs.CompileTask,62.0,4.0,5.0,0.0,11.0,21.0,0.0
apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,1.0,3.0,2.0,0.0,15.0,17.0,0.0
apache.tools.ant.taskdefs.Copy,25.0,17.0,3.0,1.0,19.0,68.0,0.0
apache.tools.ant.taskdefs.Copydir,29.0,8.0,4.0,0.0,13.0,36.0,0.0
apache.tools.ant.taskdefs.Copyfile,18.0,6.0,3.0,0.0,8.0,21.0,0.0
apache.tools.ant.taskdefs.Cvs,24.0,12.0,3.0,0.0,16.0,37.0,0.0
apache.tools.ant.util.DOMElementWriter,3.0,5.0,2.0,0.0,16.0,38.0,0.0
apache.tools.ant.types.DataType,4.0,9.0,2.0,4.0,6.0,18.0,0.0
apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,3.0,10.0,2.0,4.0,22.0,83.0,1.0
apache.tools.ant.DefaultLogger,11.0,14.0,2.0,1.0,12.0,33.0,2.0
apache.tools.ant.taskdefs.Delete,22.0,18.0,4.0,0.0,12.0,51.0,0.0
apache.tools.ant.taskdefs.Deltree,15.0,4.0,3.0,0.0,6.0,18.0,0.0
apache.tools.ant.DesirableFilter,1.0,2.0,2.0,0.0,4.0,6.0,0.0
apache.tools.ant.DirectoryScanner,13.0,23.0,2.0,1.0,11.0,60.0,0.0
apache.tools.ant.taskdefs.Echo,19.0,7.0,3.0,0.0,13.0,22.0,0.0
apache.tools.ant.types.EnumeratedAttribute,4.0,5.0,2.0,0.0,5.0,13.0,0.0
apache.tools.ant.types.Environment,2.0,3.0,2.0,0.0,6.0,9.0,0.0
apache.tools.ant.taskdefs.Exec,19.0,10.0,3.0,0.0,16.0,43.0,0.0
apache.tools.ant.taskdefs.ExecTask,24.0,19.0,3.0,1.0,20.0,63.0,0.0
apache.tools.ant.taskdefs.Execute,11.0,21.0,2.0,0.0,30.0,92.0,1.0
apache.tools.ant.taskdefs.ExecuteJava,5.0,6.0,2.0,0.0,17.0,26.0,0.0
apache.tools.ant.taskdefs.ExecuteOn,28.0,11.0,4.0,2.0,17.0,46.0,0.0
apache.tools.ant.taskdefs.ExecuteWatchdog,6.0,8.0,2.0,0.0,15.0,26.0,0.0
apache.tools.ant.taskdefs.Exit,15.0,3.0,3.0,0.0,4.0,6.0,0.0
apache.tools.ant.taskdefs.Expand,26.0,5.0,4.0,0.0,17.0,46.0,0.0
apache.tools.ant.types.FileSet,15.0,16.0,3.0,1.0,13.0,60.0,1.0
apache.tools.ant.taskdefs.Filter,17.0,6.0,3.0,0.0,11.0,25.0,0.0
apache.tools.ant.taskdefs.FixCRLF,30.0,8.0,4.0,0.0,14.0,34.0,3.0
apache.tools.ant.util.FlatFileNameMapper,3.0,4.0,2.0,0.0,5.0,7.0,0.0
apache.tools.ant.taskdefs.GUnzip,16.0,4.0,3.0,0.0,12.0,32.0,0.0
apache.tools.ant.taskdefs.GZip,16.0,6.0,3.0,0.0,12.0,27.0,0.0
apache.tools.ant.taskdefs.GenerateKey,26.0,14.0,3.0,0.0,12.0,33.0,0.0
apache.tools.ant.taskdefs.Get,19.0,8.0,3.0,0.0,16.0,47.0,0.0
apache.tools.ant.util.GlobPatternMapper,3.0,5.0,2.0,0.0,5.0,16.0,0.0
apache.tools.ant.util.IdentityMapper,3.0,4.0,2.0,0.0,4.0,5.0,0.0
apache.tools.ant.IntrospectionHelper,9.0,14.0,2.0,0.0,42.0,67.0,2.0
apache.tools.ant.util.regexp.JakartaOroMatcher,4.0,5.0,2.0,0.0,10.0,18.0,0.0
apache.tools.ant.util.regexp.JakartaRegexpMatcher,4.0,5.0,2.0,0.0,7.0,14.0,0.0
apache.tools.ant.taskdefs.Jar,32.0,6.0,5.0,1.0,13.0,33.0,0.0
apache.tools.ant.taskdefs.Java,31.0,22.0,3.0,0.0,22.0,82.0,0.0
apache.tools.ant.taskdefs.Javac,62.0,42.0,4.0,1.0,15.0,78.0,0.0
apache.tools.ant.taskdefs.compilers.Javac12,2.0,3.0,3.0,0.0,15.0,19.0,0.0
apache.tools.ant.taskdefs.compilers.Javac13,2.0,2.0,3.0,0.0,14.0,17.0,0.0
apache.tools.ant.taskdefs.JavacOutputStream,1.0,4.0,2.0,0.0,6.0,12.0,0.0
